             b'api-ms-win-core-synch-l1-2-0.dll'                                 b'EnterCriticalSection'
             b'api-ms-win-core-synch-l1-2-0.dll'                                     b'ReleaseSemaphore'
             b'api-ms-win-core-synch-l1-2-0.dll'                                 b'LeaveCriticalSection'
             b'api-ms-win-core-synch-l1-2-0.dll'                                b'DeleteCriticalSection'
             b'api-ms-win-core-synch-l1-2-0.dll'                                   b'CreateSemaphoreExW'
             b'api-ms-win-core-synch-l1-2-0.dll'                              b'ReleaseSRWLockExclusive'
             b'api-ms-win-core-synch-l1-2-0.dll'                                     b'InitOnceComplete'
             b'api-ms-win-core-synch-l1-2-0.dll'                              b'AcquireSRWLockExclusive'
             b'api-ms-win-core-synch-l1-2-0.dll'                                  b'WaitForSingleObject'
             b'api-ms-win-core-synch-l1-2-0.dll'                                       b'CreateMutexExW'
             b'api-ms-win-core-synch-l1-2-0.dll'                                 b'ReleaseSRWLockShared'
             b'api-ms-win-core-synch-l1-2-0.dll'                                 b'AcquireSRWLockShared'
             b'api-ms-win-core-synch-l1-2-0.dll'                                         b'CreateMutexW'
             b'api-ms-win-core-synch-l1-2-0.dll'                                           b'OpenEventW'
             b'api-ms-win-core-synch-l1-2-0.dll'                                           b'OpenMutexW'
             b'api-ms-win-core-synch-l1-2-0.dll'                                           b'ResetEvent'
             b'api-ms-win-core-synch-l1-2-0.dll'                              b'InitOnceBeginInitialize'
             b'api-ms-win-core-synch-l1-2-0.dll'                          b'InitializeCriticalSectionEx'
              b'api-ms-win-core-heap-l1-2-0.dll'                                             b'HeapFree'
              b'api-ms-win-core-heap-l1-2-0.dll'                                          b'HeapDestroy'
              b'api-ms-win-core-heap-l1-2-0.dll'                                             b'HeapSize'
              b'api-ms-win-core-heap-l1-2-0.dll'                                       b'GetProcessHeap'
              b'api-ms-win-core-heap-l1-2-0.dll'                                            b'HeapAlloc'
              b'api-ms-win-core-heap-l1-2-0.dll'                                          b'HeapReAlloc'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                                         b'SetLastError'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                                         b'GetLastError'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                          b'SetUnhandledExceptionFilter'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                             b'UnhandledExceptionFilter'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                                       b'RaiseException'
               b'api-ms-win-core-com-l1-1-1.dll'                                b'CoRegisterClassObject'
               b'api-ms-win-core-com-l1-1-1.dll'                                       b'CoUninitialize'
               b'api-ms-win-core-com-l1-1-1.dll'                                       b'CoInitializeEx'
               b'api-ms-win-core-com-l1-1-1.dll'                                  b'CoRevokeClassObject'
               b'api-ms-win-core-com-l1-1-1.dll'                                     b'CoCreateInstance'
               b'api-ms-win-core-com-l1-1-1.dll'                                       b'CoRevertToSelf'
               b'api-ms-win-core-com-l1-1-1.dll'                                    b'CoSetProxyBlanket'
               b'api-ms-win-core-com-l1-1-1.dll'                                  b'CoImpersonateClient'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                  b'GetCurrentProcessId'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                   b'GetCurrentThreadId'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                       b'SetThreadToken'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                 b'CreateProcessAsUserW'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                    b'GetCurrentProcess'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                       b'CreateProcessW'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                   b'GetExitCodeProcess'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'GetCurrentThread'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'TerminateProcess'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                                      b'OpenThreadToken'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                            b'IsProcessorFeaturePresent'
      b'api-ms-win-core-localization-l1-2-1.dll'                                       b'FormatMessageW'
      b'api-ms-win-core-localization-l1-2-1.dll'                                        b'LCMapStringEx'
             b'api-ms-win-core-debug-l1-1-1.dll'                                    b'IsDebuggerPresent'
             b'api-ms-win-core-debug-l1-1-1.dll'                                   b'OutputDebugStringW'
            b'api-ms-win-core-handle-l1-1-0.dll'                                          b'CloseHandle'
            b'api-ms-win-core-string-l1-1-0.dll'                                  b'WideCharToMultiByte'
            b'api-ms-win-core-string-l1-1-0.dll'                                       b'GetStringTypeW'
            b'api-ms-win-core-string-l1-1-0.dll'                                  b'MultiByteToWideChar'
            b'api-ms-win-core-string-l1-1-0.dll'                                      b'CompareStringEx'
b'api-ms-win-core-processenvironment-l1-2-0.dll'                            b'ExpandEnvironmentStringsW'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                              b'GetSystemTimeAsFileTime'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                       b'GetSystemTimePreciseAsFileTime'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                        b'SetSystemTime'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                  b'GetSystemDirectoryW'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                        b'GetSystemInfo'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                       b'GetProductInfo'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                        b'GetVersionExW'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                                   b'GetComputerNameExW'
                                 b'OLEAUT32.dll'                                     b'SafeArrayDestroy'
                                 b'OLEAUT32.dll'                                          b'LoadTypeLib'
                                 b'OLEAUT32.dll'                              b'SafeArrayCreateVectorEx'
                                 b'OLEAUT32.dll'                                  b'SafeArrayPutElement'
                                 b'OLEAUT32.dll'                                       b'LoadRegTypeLib'
                                 b'OLEAUT32.dll'                                 b'SafeArrayGetElemsize'
                                 b'OLEAUT32.dll'                                         b'SysStringLen'
