        b'api-ms-win-core-errorhandling-l1-1-1.dll'                       b'GetLastError'
        b'api-ms-win-core-errorhandling-l1-1-1.dll'                       b'SetLastError'
                 b'api-ms-win-core-heap-l1-2-0.dll'                           b'HeapFree'
                 b'api-ms-win-core-heap-l1-2-0.dll'                     b'GetProcessHeap'
                 b'api-ms-win-core-heap-l1-2-0.dll'                          b'HeapAlloc'
                 b'api-ms-win-core-heap-l1-2-0.dll'                        b'HeapReAlloc'
               b'api-ms-win-core-string-l1-1-0.dll'                     b'CompareStringW'
               b'api-ms-win-core-string-l1-1-0.dll'                b'WideCharToMultiByte'
               b'api-ms-win-core-string-l1-1-0.dll'                b'MultiByteToWideChar'
             b'api-ms-win-core-registry-l1-1-0.dll'                      b'RegEnumKeyExW'
             b'api-ms-win-core-registry-l1-1-0.dll'                     b'RegSetValueExW'
             b'api-ms-win-core-registry-l1-1-0.dll'                     b'RegSetValueExA'
             b'api-ms-win-core-registry-l1-1-0.dll'                   b'RegQueryInfoKeyA'
             b'api-ms-win-core-registry-l1-1-0.dll'                   b'RegQueryValueExW'
             b'api-ms-win-core-registry-l1-1-0.dll'                   b'RegQueryValueExA'
             b'api-ms-win-core-registry-l1-1-0.dll'                      b'RegOpenKeyExA'
             b'api-ms-win-core-registry-l1-1-0.dll'                        b'RegCloseKey'
             b'api-ms-win-core-registry-l1-1-0.dll'                       b'RegGetValueW'
             b'api-ms-win-core-registry-l1-1-0.dll'                      b'RegOpenKeyExW'
             b'api-ms-win-core-registry-l1-1-0.dll'                    b'RegCreateKeyExW'
             b'api-ms-win-core-registry-l1-1-0.dll'                    b'RegCreateKeyExA'
             b'api-ms-win-core-registry-l1-1-0.dll'                    b'RegDeleteValueW'
             b'api-ms-win-core-registry-l1-1-0.dll'                    b'RegDeleteKeyExW'
      b'api-ms-win-security-credentials-l1-1-0.dll'                          b'CredReadW'
      b'api-ms-win-security-credentials-l1-1-0.dll'                         b'CredWriteW'
      b'api-ms-win-security-credentials-l1-1-0.dll'         b'CredReadDomainCredentialsW'
      b'api-ms-win-security-credentials-l1-1-0.dll'                           b'CredFree'
      b'api-ms-win-security-credentials-l1-1-0.dll'                        b'CredDeleteW'
      b'api-ms-win-security-credentials-l1-1-0.dll'                     b'CredEnumerateW'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'                b'GetNativeSystemInfo'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'            b'GetSystemTimeAsFileTime'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'                       b'GetTickCount'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'                     b'GetTickCount64'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'                      b'GetSystemTime'
             b'api-ms-win-core-timezone-l1-1-0.dll'               b'FileTimeToSystemTime'
             b'api-ms-win-core-timezone-l1-1-0.dll'               b'SystemTimeToFileTime'
                 b'api-ms-win-core-file-l1-2-1.dll'                   b'RemoveDirectoryW'
                 b'api-ms-win-core-file-l1-2-1.dll'                 b'GetFileAttributesW'
                 b'api-ms-win-core-file-l1-2-1.dll'                 b'SetFileAttributesW'
                 b'api-ms-win-core-file-l1-2-1.dll'                      b'FindNextFileW'
                 b'api-ms-win-core-file-l1-2-1.dll'                   b'CreateDirectoryW'
                 b'api-ms-win-core-file-l1-2-1.dll'                     b'FindFirstFileW'
                 b'api-ms-win-core-file-l1-2-1.dll'                          b'FindClose'
                 b'api-ms-win-core-file-l1-2-1.dll'                       b'SetEndOfFile'
                 b'api-ms-win-core-file-l1-2-1.dll'                     b'SetFilePointer'
                 b'api-ms-win-core-file-l1-2-1.dll'                           b'ReadFile'
