b'api-ms-win-core-processenvironment-l1-2-0.dll'                                                           b'ExpandEnvironmentStringsW'
      b'api-ms-win-core-localization-l1-2-1.dll'                                                                      b'FormatMessageW'
             b'api-ms-win-core-debug-l1-1-1.dll'                                                                  b'OutputDebugStringW'
            b'api-ms-win-core-handle-l1-1-0.dll'                                                                         b'CloseHandle'
          b'api-ms-win-core-apiquery-l1-1-0.dll'                                                           b'ApiSetQueryApiSetPresence'
                                  b'SHELL32.dll'                                                                  b'CommandLineToArgvW'
                                  b'SHLWAPI.dll'                                                                      b'SHGetThreadRef'
                                  b'SHLWAPI.dll'                                                                 b'PathRemoveFileSpecW'
                                  b'SHLWAPI.dll'                                                                         b'PathAppendW'
                                  b'UxTheme.dll'                                                                 b'GetCurrentThemeName'
                                    b'DUI70.dll'                                                                          b'InitThread'
                                    b'DUI70.dll'                         b'?GetSheet@DUIXmlParser@DirectUI@@QEAAJPEBGPEAPEAVValue@2@@Z'
                                    b'DUI70.dll'                                                                   b'UnInitProcessPriv'
                                    b'DUI70.dll' b'?Create@DUIXmlParser@DirectUI@@SAJPEAPEAV12@P6APEAVValue@2@PEBGPEAX@Z2P6AX11H2@Z2@Z'
                                    b'DUI70.dll'                                             b'?Destroy@DUIXmlParser@DirectUI@@QEAAXXZ'
                                    b'DUI70.dll'               b'?SetXMLFromResource@DUIXmlParser@DirectUI@@QEAAJIPEAUHINSTANCE__@@0@Z'
                                    b'DUI70.dll'      b'?CreateElement@DUIXmlParser@DirectUI@@QEAAJPEBGPEAVElement@2@1PEAKPEAPEAV32@@Z'
                                    b'DUI70.dll'                                                b'?EndDefer@Element@DirectUI@@QEAAXK@Z'
                                    b'DUI70.dll'                                                b'?Destroy@Element@DirectUI@@QEAAJ_N@Z'
                                    b'DUI70.dll'                                                                     b'InitProcessPriv'
                                    b'DUI70.dll'     b'?SetXMLFromResourceWithTheme@DUIXmlParser@DirectUI@@QEAAJIPEAUHINSTANCE__@@00@Z'
                                    b'DUI70.dll'            b'?SetXMLFromResource@DUIXmlParser@DirectUI@@QEAAJPEBGPEAUHINSTANCE__@@1@Z'
                                    b'DUI70.dll'                                                                    b'StartMessagePump'
                                    b'DUI70.dll'                                                                        b'UnInitThread'
