Name,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Reserved1,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes
RedBoot.sample,332.0,3.0,0x59BDF65A [Sun Sep 17 04:13:14 2017 UTC],0.0,0.0,224.0,290.0,267.0,12.0,0.0,352256.0,897024.0,1425408.0,1780448.0,1429504.0,1781760.0,4194304.0,4096.0,512.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,2678784.0,4096.0,0.0,2.0,32832.0,4194304.0,4096.0,4194304.0,4096.0,0.0,16.0
Revil.sample,332.0,5.0,0x5CA11987 [Sun Mar 31 19:48:23 2019 UTC],0.0,0.0,224.0,258.0,267.0,14.0,0.0,45056.0,1106432.0,0.0,11262.0,4096.0,49152.0,4194304.0,4096.0,512.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,1163264.0,1024.0,0.0,3.0,32768.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Satana.sample,332.0,4.0,0x4AF93DC4 [Tue Nov 10 10:17:40 2009 UTC],0.0,0.0,224.0,290.0,267.0,10.0,0.0,8704.0,40960.0,0.0,9488.0,4096.0,16384.0,4194304.0,4096.0,512.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,65536.0,1024.0,77788.0,2.0,33280.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Teslacrypt.sample,332.0,4.0,0x4168A4EE [Sun Oct 10 02:56:46 2004 UTC],0.0,0.0,224.0,271.0,267.0,6.0,0.0,106496.0,2490368.0,0.0,108030.0,4096.0,110592.0,4194304.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2600960.0,4096.0,21975.0,2.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Thanos.sample,332.0,3.0,0x5F06397C [Wed Jul  8 21:24:12 2020 UTC],0.0,0.0,224.0,259.0,267.0,11.0,0.0,90112.0,2560.0,0.0,1919319279.0,8192.0,98304.0,13369344.0,8192.0,512.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,114688.0,512.0,0.0,2.0,34112.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Troldesh.sample,332.0,6.0,0x59C4BE5D [Fri Sep 22 07:40:13 2017 UTC],0.0,0.0,224.0,259.0,267.0,14.0,0.0,116224.0,915968.0,0.0,27198.0,4096.0,122880.0,50331648.0,4096.0,512.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,1052672.0,1024.0,0.0,2.0,33024.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Unnamed.sample,332.0,3.0,0x5ABF4B77 [Sat Mar 31 08:48:55 2018 UTC],0.0,0.0,224.0,258.0,267.0,11.0,0.0,84992.0,838656.0,0.0,93006.0,8192.0,98304.0,4194304.0,8192.0,512.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,950272.0,512.0,0.0,2.0,34112.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Vipasana.sample,332.0,8.0,0x2A425E19 [Fri Jun 19 22:22:17 1992 UTC],0.0,0.0,224.0,33166.0,267.0,2.0,25.0,251392.0,126976.0,0.0,238768.0,4096.0,258048.0,4194304.0,4096.0,512.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,409600.0,1024.0,441052.0,2.0,0.0,16777216.0,16384.0,1048576.0,4096.0,0.0,16.0
Wannacry.sample,332.0,4.0,0x4CE78F41 [Sat Nov 20 09:05:05 2010 UTC],0.0,0.0,224.0,271.0,267.0,6.0,0.0,28672.0,3481600.0,0.0,30650.0,4096.0,32768.0,4194304.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3514368.0,4096.0,0.0,2.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
Win32.Wannacry.sample,332.0,5.0,0x59145751 [Thu May 11 12:21:37 2017 UTC],0.0,0.0,224.0,8462.0,267.0,6.0,0.0,4096.0,5259264.0,0.0,4585.0,4096.0,8192.0,268435456.0,4096.0,4096.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,5267456.0,4096.0,0.0,2.0,0.0,1048576.0,4096.0,1048576.0,4096.0,0.0,16.0
