Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'SetWindowLongPtrW',331,2,331,0
b'GetStartupInfoW',330,5,316,14
b'CopySid',328,6,326,2
b'NdrDllGetClassObject',326,1,326,0
b'IsProcessorFeaturePresent',325,5,310,15
b'PostMessageW',323,2,321,2
b'NdrOleAllocate',323,1,323,0
b'NdrOleFree',323,1,323,0
b'IUnknown_Release_Proxy',322,1,322,0
b'IUnknown_AddRef_Proxy',322,1,322,0
b'IUnknown_QueryInterface_Proxy',322,1,322,0
b'InitializeSListHead',322,5,316,6
b'CStdStubBuffer_IsIIDSupported',321,2,321,0
b'CStdStubBuffer_Invoke',321,2,321,0
b'CStdStubBuffer_DebugServerQueryInterface',321,2,321,0
b'CStdStubBuffer_DebugServerRelease',321,2,321,0
b'CStdStubBuffer_AddRef',321,2,321,0
b'SysAllocStringLen',320,3,316,4
b'CheckTokenMembership',319,5,316,3
b'NdrDllCanUnloadNow',315,1,315,0
b'CompareFileTime',314,4,313,1
b'GetSystemMetrics',312,4,303,9
b'CloseServiceHandle',310,2,304,6
b'_initterm_e',303,6,303,0
b'DestroyWindow',299,4,292,7
b'InitializeSecurityDescriptor',298,5,292,6
b'CreateThreadpoolWork',296,3,296,0
b'CreateSemaphoreW',296,5,295,1
b'SubmitThreadpoolWork',295,3,295,0
b'RegOpenKeyExA',292,6,286,9
b'SetSecurityDescriptorDacl',291,5,289,2
b'GetTempPathW',291,5,284,7
b'EqualSid',291,6,290,1
b'GetCommandLineW',289,6,275,14
b'LoadCursorW',287,2,285,2
b'PeekMessageW',286,3,283,3
b'CloseThreadpoolWork',286,3,286,0
b'SetFileAttributesW',285,7,275,10
b'CStdStubBuffer_Connect',284,2,284,0
b'CStdStubBuffer_Disconnect',284,2,284,0
b'VirtualFree',284,6,270,14
b'NdrCStdStubBuffer_Release',284,2,284,0
b'CStdStubBuffer_QueryInterface',284,2,284,0
b'CStdStubBuffer_CountRefs',284,2,284,0
b'OpenSCManagerW',283,2,281,2
b'RegQueryValueExA',281,6,273,10
b'GetFullPathNameW',281,6,276,5
b'CreateStreamOnHGlobal',281,4,280,1
b'ConvertStringSecurityDescriptorToSecurityDescriptorW',280,2,279,1
b'GetComputerNameExW',279,4,279,0
b'RpcBindingFree',277,2,277,0
b'IsValidSid',277,5,277,0
b'DefWindowProcW',275,3,272,3
b'NtQueryInformationToken',274,1,273,1
b'CoWaitForMultipleHandles',269,5,269,0
b'GetParent',269,2,265,4
b'OpenServiceW',268,2,268,0
b'GlobalLock',267,4,263,4
b'GlobalUnlock',265,4,261,4
b'UuidCreate',265,1,265,0
b'CreateWellKnownSid',264,3,260,4
b'CreateActCtxW',264,2,264,0
b'EtwGetTraceLoggerHandle',264,1,264,0
b'GetFileType',264,7,245,19
b'ShowWindow',263,2,253,10
b'EnableWindow',262,2,259,3
b'EtwGetTraceEnableFlags',262,1,262,0
b'EtwGetTraceEnableLevel',262,1,262,0
b'GetLocaleInfoW',261,3,252,9
b'GetDlgItem',260,1,255,5
b'EtwRegisterTraceGuidsW',259,1,259,0
b'AdjustTokenPrivileges',259,6,251,8
b'DeactivateActCtx',259,2,259,0
b'DeleteObject',259,2,256,3
b'ActivateActCtx',259,2,259,0
b'GetStdHandle',258,6,233,28
b'EtwUnregisterTraceGuids',258,1,258,0
b'GetDC',257,2,252,5
b'VerQueryValueW',256,3,253,3
b'NdrClientCall3',255,1,255,0
b'ReleaseDC',255,2,251,4
b'GetClientRect',253,3,249,4
b'InitializeAcl',252,5,249,3
b'wcstol',251,6,250,1
b'iswdigit',251,6,250,1
b'RoOriginateErrorW',250,2,250,0
b'GetComputerNameW',250,6,248,2
b'CreateWindowExW',250,3,247,3
b'iswspace',249,5,248,1
b'RtlFreeUnicodeString',249,3,249,0
b'GetWindowRect',248,3,244,4
b'SetEndOfFile',247,7,234,14
b'PropVariantClear',247,4,247,0
b'RegDeleteKeyExW',246,5,246,0
b'CreateProcessW',245,7,240,5
b'WindowsIsStringEmpty',242,1,242,0
b'wcsnlen',242,7,242,0
b'FlushFileBuffers',242,6,226,16
b'WindowsStringHasEmbeddedNull',241,1,241,0
b'RoTransformError',240,2,240,0
b'VarUI4FromStr',239,1,238,1
b'TrySubmitThreadpoolCallback',238,2,238,0
b'GetFileSizeEx',238,5,235,3
b'ImpersonateLoggedOnUser',238,3,235,3
b'EtwEventWrite',238,1,238,0
b'_wtol',237,6,236,1
b'EtwEventRegister',237,1,237,0
b'OpenEventW',236,3,236,0
b'lstrlenA',236,6,231,5
b'MessageBoxW',235,1,232,3
b'NtQuerySystemInformation',235,2,235,0
b'FreeLibraryWhenCallbackReturns',232,3,232,0
b'EtwEventUnregister',232,1,232,0
b'qsort',231,7,230,1
b'SetThreadToken',231,5,228,3
b'UnregisterClassA',231,2,230,1
b'RegDeleteTreeW',227,5,227,0
b'sprintf_s',224,6,224,0
b'QueryPerformanceFrequency',224,4,218,6
b'ObjectStublessClient3',221,2,221,0
b'GetSecurityDescriptorDacl',219,4,217,2
b'StringFromCLSID',217,4,217,0
b'SetCursor',216,2,214,2
b'ObjectStublessClient6',215,2,215,0
b'CallbackMayRunLong',213,3,213,0
b'towlower',213,6,212,1
b'_wcsdup',213,5,213,0
b'RoActivateInstance',212,1,212,0
b'RtlSubscribeWnfStateChangeNotification',211,1,211,0
b'_o__cexit',211,1,211,0
b'MulDiv',211,7,208,3
b'GetThreadLocale',211,5,205,9
b'_o_memset',211,1,211,0
b'_o__initialize_onexit_table',211,1,211,0
b'FileTimeToLocalFileTime',210,7,203,7
b'UuidToStringW',210,1,210,0
b'SetWindowPos',210,2,207,3
b'RegDeleteKeyW',210,3,208,2
b'swscanf_s',209,4,209,0
b'WindowsDuplicateString',209,1,209,0
b'?_Xbad_alloc@std@@YAXXZ',208,4,208,0
b'SetFocus',208,2,204,4
b'ObjectStublessClient7',207,2,207,0
b'GetDriveTypeW',205,5,199,6
b'RemoveDirectoryW',204,6,200,4
b'MoveFileExW',204,4,201,3
b'_stricmp',204,8,201,3
b'RoGetMatchingRestrictedErrorInfo',204,1,204,0
b'?_Xlength_error@std@@YAXPEBD@Z',204,4,204,0
b'GetWindowsDirectoryW',202,6,195,7
b'GetTempFileNameW',202,6,198,4
b'RpcBindingFromStringBindingW',202,1,202,0
b'LoadTypeLib',201,1,201,0
b'GetSystemWindowsDirectoryW',200,6,200,0
b'WriteConsoleW',200,5,182,18
b'UnregisterWaitEx',200,5,200,0
b'FindResourceW',200,5,197,3
b'RpcStringBindingComposeW',200,1,200,0
b'NdrCStdStubBuffer2_Release',200,2,200,0
b'SelectObject',199,2,195,4
b'NdrStubForwardingFunction',199,1,199,0
b'ObjectStublessClient8',199,2,199,0
b'GetStringTypeW',198,4,181,17
b'IsWindow',197,2,194,3
b'SetWindowTextW',197,2,194,3
b'fclose',197,6,196,1
b'GetACP',196,5,176,20
b'setlocale',196,5,195,1
b'SetThreadPriority',196,5,195,1
b'GetExitCodeProcess',195,5,189,6
b'ExitProcess',195,7,164,33
b'CryptReleaseContext',195,3,191,4
b'CoGetMalloc',194,3,194,0
b'towupper',194,6,193,1
b'LCMapStringW',194,6,177,17
b'LoadIconW',194,1,193,1
b'NdrStubCall3',194,1,194,0
b'__iob_func',192,4,192,0
b'RtlLengthSid',191,2,190,1
b'DestroyIcon',190,2,187,3
b'?_Xout_of_range@std@@YAXPEBD@Z',189,4,189,0
b'_o__configure_narrow_argv',188,1,188,0
b'ResumeThread',188,7,185,3
b'_o__initialize_narrow_environment',188,1,188,0
b'LocalReAlloc',188,4,188,0
b'RegNotifyChangeKeyValue',186,3,186,0
b'SetTimer',186,2,183,3
b'GetMessageW',186,2,182,4
b'EndDialog',186,1,183,3
b'PostThreadMessageW',186,2,185,1
b'__getmainargs',185,2,181,4
b'_o__execute_onexit_table',184,1,184,0
b'_o___std_type_info_destroy_list',184,1,184,0
b'_o__seh_filter_dll',184,1,184,0
b'CStdStubBuffer2_Disconnect',183,3,183,0
b'ObjectStublessClient9',183,2,183,0
b'CStdStubBuffer2_CountRefs',183,3,183,0
b'CStdStubBuffer2_Connect',183,3,183,0
b'GetDeviceCaps',183,2,179,4
b'CStdStubBuffer2_QueryInterface',183,3,183,0
b'_ismbblead',182,5,182,0
b'CoGetApartmentType',182,3,182,0
b'GetConsoleMode',182,5,164,18
b'?_Syserror_map@std@@YAPEBDH@Z',181,4,181,0
b'QueueUserWorkItem',181,3,181,0
b'GetWindowLongW',180,2,177,3
b'KillTimer',179,2,176,3
b'SysStringByteLen',178,2,177,1
b'ConvertStringSidToSidW',178,2,178,0
b'NetApiBufferFree',178,2,176,2
b'RoGetAgileReference',177,2,177,0
b'GetOverlappedResult',177,3,177,0
b'VariantChangeType',177,2,172,5
b'ObjectStublessClient10',176,2,176,0
b'DeleteDC',176,2,173,3
b'RtlUnsubscribeWnfNotificationWaitForCompletion',176,1,176,0
b'SystemParametersInfoW',176,3,172,4
b'strcmp',175,9,174,1
b'wcscspn',175,6,175,0
b'ReleaseActCtx',174,2,173,1
b'wcstok_s',174,5,174,0
b'SetRestrictedErrorInfo',174,2,174,0
b'SetErrorMode',173,6,168,5
b'GetSidSubAuthority',173,5,171,2
b'GetTimeFormatW',173,5,170,3
b'GetEnvironmentVariableW',172,6,169,3
b'ObjectStublessClient11',172,2,172,0
b'CreateThreadpoolWait',171,2,171,0
b'SetThreadpoolWait',171,2,171,0
b'GetDateFormatW',171,5,168,3
b'LoadImageW',170,1,169,1
b'BCryptCreateHash',170,3,170,0
b'BCryptDestroyHash',170,3,170,0
b'GetFileAttributesExW',170,4,167,3
b'CloseThreadpoolWait',170,2,170,0
b'BCryptHashData',170,3,170,0
b'BCryptFinishHash',170,3,170,0
b'CryptAcquireContextW',170,3,167,3
b'IsErrorPropagationEnabled',169,1,169,0
b'RoReportFailedDelegate',169,1,169,0
b'_o_free',169,1,169,0
b'CreateTimerQueueTimer',169,3,169,0
b'GetFocus',169,3,166,3
b'SafeArrayGetUBound',169,2,166,3
b'SysAllocStringByteLen',169,2,169,0
b'GetModuleHandleA',168,5,152,22
b'_itow_s',168,5,168,0
b'WaitForThreadpoolWorkCallbacks',167,2,167,0
b'UuidFromStringW',167,1,167,0
b'ObjectStublessClient12',167,2,167,0
b'DuplicateTokenEx',166,4,165,1
b'I_RpcExceptionFilter',166,2,166,0
b'GetSysColor',166,2,163,3
b'BCryptOpenAlgorithmProvider',166,3,166,0
b'SafeArrayDestroy',166,1,166,0
b'DeleteTimerQueueTimer',165,3,165,0
b'abort',165,5,165,0
b'ObjectStublessClient13',164,2,164,0
b'RtlCompareUnicodeString',164,3,164,0
b'WSAStartup',164,2,160,4
b'NdrProxyForwardingFunction3',164,2,164,0
b'BCryptCloseAlgorithmProvider',164,3,164,0
b'strncmp',163,7,163,0
b'CopyFileW',163,6,160,3
b'_o_malloc',163,1,163,0
b'vswprintf_s',163,5,163,0
b'CreateFileA',163,5,149,15
b'PostQuitMessage',162,3,158,4
b'NdrProxyForwardingFunction4',162,2,162,0
b'MsgWaitForMultipleObjectsEx',162,4,161,1
b'DialogBoxParamW',162,1,160,2
b'QueryFullProcessImageNameW',162,2,162,0
b'_o__crt_atexit',161,1,161,0
b'NdrProxyForwardingFunction5',161,2,161,0
b'GetWindowTextW',161,3,160,1
b'SetForegroundWindow',161,3,159,2
b'_o__register_onexit_function',161,1,161,0
b'QueryServiceStatus',160,3,160,0
b'WinSqmAddToStream',160,1,160,0
b'RoInitialize',160,1,160,0
b'CertFreeCertificateContext',159,1,159,0
b'NdrServerCall2',159,1,159,0
b'InvalidateRect',159,1,156,3
b'CoInitialize',158,3,155,3
b'strcpy_s',158,7,158,0
b'time',157,3,155,2
b'ObjectStublessClient14',157,2,157,0
b'_wcmdln',157,1,157,0
b'GetDesktopWindow',157,4,154,3
b'SafeArrayGetLBound',157,2,154,3
b'NtCreateFile',156,1,156,0
b'GetUserDefaultUILanguage',156,5,154,2
b'RpcImpersonateClient',156,1,156,0
b'GetFileInformationByHandle',156,4,155,1
b'RoUninitialize',155,1,155,0
b'SetServiceStatus',155,2,153,2
b'CreateCompatibleDC',155,2,152,3
b'RtlCompareMemory',155,6,155,0
b'AddAccessAllowedAce',153,5,153,0
b'LoadLibraryA',153,7,126,27
b'SetFilePointerEx',153,5,144,9
b'NdrServerCallAll',153,1,153,0
b'InterlockedPushEntrySList',152,4,151,1
b'ObjectStublessClient15',152,2,152,0
b'CoSetProxyBlanket',152,5,150,2
b'VerSetConditionMask',152,4,152,0
b'SetDlgItemTextW',151,1,151,0
b'RegSetValueExA',151,5,143,8
b'CoReleaseMarshalData',151,3,151,0
b'GetAce',151,3,148,3
b'strrchr',151,6,150,1
b'WSACleanup',151,2,148,3
b'_o__callnewh',150,1,150,0
b'GetVersionExA',150,5,145,5
b'RegOpenCurrentUser',150,5,150,0
b'VariantCopy',150,2,145,5
b'GetConsoleOutputCP',150,3,147,3
b'GetFileVersionInfoSizeExW',149,3,149,0
b'RegisterTypeLib',149,1,149,0
b'GetProcessId',148,2,147,1
b'tolower',148,6,148,0
b'GetFileVersionInfoExW',148,3,148,0
b'RtlPublishWnfStateData',148,1,148,0
b'PathFindFileNameW',147,3,147,0
b'_o__purecall',146,1,146,0
b'ObjectStublessClient16',145,2,145,0
b'LookupPrivilegeValueW',145,4,142,3
b'WaitForThreadpoolWaitCallbacks',144,2,144,0
b'SendDlgItemMessageW',144,1,142,2
b'InterlockedPopEntrySList',143,4,142,1
b'GetExitCodeThread',143,4,141,2
b'_o___std_exception_copy',143,1,143,0
b'fflush',143,5,142,1
b'_o___std_exception_destroy',143,1,143,0
b'_vscwprintf',142,4,142,0
b'RtlGetDeviceFamilyInfoEnum',142,1,142,0
b'BCryptGetProperty',141,3,141,0
b'SearchPathW',141,4,140,1
b'SetWindowLongW',141,2,138,3
b'RtlNtStatusToDosErrorNoTeb',140,1,140,0
b'_vsnwprintf_s',139,5,139,0
b'CreateFontIndirectW',139,1,139,0
b'_o___stdio_common_vswprintf',139,1,139,0
b'QueryActCtxW',139,2,139,0
b'ShellExecuteExW',138,2,134,4
b'NtQueryInformationProcess',138,1,138,0
b'_set_errno',138,1,138,0
b'___lc_codepage_func',138,5,138,0
b'isdigit',138,9,138,0
b'CreateEventA',138,4,132,6
b'HeapCreate',138,6,128,10
b'sqrt',138,8,137,1
b'LoadRegTypeLib',138,1,138,0
b'GetWindowThreadProcessId',137,3,133,4
b'ObjectStublessClient17',137,2,137,0
b'GetUserDefaultLCID',137,3,130,7
b'ObjectStublessClient4',137,2,137,0
b'RegisterClassExW',137,2,135,2
b'WSAGetLastError',136,2,132,4
b'__pctype_func',135,5,135,0
b'iswalpha',135,5,134,1
b'RegSetKeyValueW',135,2,135,0
b'SHStrDupW',134,4,134,0
b'SafeArrayCreate',134,2,131,3
b'CoRegisterClassObject',134,3,134,0
b'RpcRevertToSelf',133,1,133,0
b'SetThreadUILanguage',133,4,132,1
b'GetSidSubAuthorityCount',133,4,132,1
b'SafeArrayAccessData',133,1,132,1
b'CoRevokeClassObject',132,3,132,0
b'_wcslwr',132,2,131,1
b'floor',132,5,132,0
b'__std_terminate',132,2,132,0
b'RtlInitializeCriticalSection',132,1,131,1
b'SafeArrayUnaccessData',132,1,131,1
b'GetKeyState',131,1,129,2
b'RtlCopySid',131,1,131,0
b'NtOpenFile',131,1,131,0
b'FindActCtxSectionStringW',131,2,129,2
b'CertCloseStore',131,1,130,1
b'MapWindowPoints',131,2,131,0
b'___lc_handle_func',131,2,131,0
b'GetWindow',131,2,131,0
b'PathFileExistsW',131,3,130,1
b'BeginPaint',130,1,128,2
b'RpcBindingSetAuthInfoExW',130,1,130,0
b'GetCurrentDirectoryW',130,4,125,5
b'__RTDynamicCast',129,3,129,0
b'GetStockObject',129,2,126,3
b'GetObjectW',129,1,128,1
b'EndPaint',129,1,128,1
b'bsearch',129,6,129,0
b'_o__invalid_parameter_noinfo_noreturn',129,1,129,0
b'RtlDeleteCriticalSection',129,1,128,1
b'NdrDllUnregisterProxy',128,1,128,0
b'NdrDllRegisterProxy',128,1,128,0
b'SetSecurityDescriptorOwner',128,4,126,2
b'_strnicmp',127,6,127,0
b'rand',127,3,124,3
b'CoGetInterfaceAndReleaseStream',127,2,127,0
b'SHSetThreadRef',127,4,127,0
b'RegisterClassW',126,3,126,0
b'_o__errno',126,1,126,0
b'IsDlgButtonChecked',125,1,122,3
b'NtQueryWnfStateData',125,1,125,0
b'CallWindowProcW',125,2,125,0
b'RtlImageNtHeader',124,2,124,0
b'WinSqmSetDWORD',124,1,124,0
b'IsWindowVisible',124,2,120,4
b'___mb_cur_max_func',124,5,124,0
b'GetRestrictedErrorInfo',124,2,124,0
b'CryptDestroyHash',123,3,122,1
b'RegisterClipboardFormatW',123,2,123,0
b'CryptHashData',123,3,122,1
b'CryptCreateHash',123,3,122,1
b'SHCreateThreadRef',123,4,123,0
b'CoMarshalInterface',122,3,122,0
b'DuplicateToken',122,3,120,2
b'GetSecurityDescriptorLength',122,2,122,0
b'??1bad_cast@@UEAA@XZ',121,1,121,0
b'??0bad_cast@@QEAA@AEBV0@@Z',121,1,121,0
b'_o__invalid_parameter_noinfo',121,1,121,0
b'RaiseFailFastException',121,4,121,0
b'ProcessIdToSessionId',121,2,121,0
b'memchr',121,7,121,0
b'NtOpenKey',121,1,121,0
b'??0bad_cast@@QEAA@PEBD@Z',121,1,121,0
b'RpcAsyncCompleteCall',120,2,120,0
b'_resetstkoflw',120,4,120,0
b'StartServiceW',120,2,120,0
b'wcsspn',119,5,118,1
b'fprintf',119,1,118,1
b'GetFileTime',119,4,119,0
b'LookupAccountSidW',118,3,116,2
b'RegisterServiceCtrlHandlerExW',118,2,118,0
b'_ultow_s',118,8,118,0
